"series_id","category","value","timestamp"
"O1","MICRO",3060.42,1
"O1","MICRO",3021.19,2
"O1","MICRO",3301.13,3
"O1","MICRO",3287.03,4
"O1","MICRO",3080.71,5
"O1","MICRO",3160.68,6
"O1","MICRO",3077.17,7
"O1","MICRO",3023.04,8
"O1","MICRO",2976.01,9
"O1","MICRO",3199.55,10
"O1","MICRO",3219.28,11
"O1","MICRO",3266.87,12
"O1","MICRO",3228.6,13
"O1","MICRO",3108.45,14
"O1","MICRO",3052.15,15
"O1","MICRO",3081.1,16
"O1","MICRO",3072.48,17
"O1","MICRO",2989.99,18
"O1","MICRO",2983.53,19
"O1","MICRO",2978.99,20
"O1","MICRO",3075.09,21
"O1","MICRO",3259.02,22
"O1","MICRO",3252.64,23
"O1","MICRO",3197.5,24
"O1","MICRO",3095.91,25
"O1","MICRO",3213.78,26
"O1","MICRO",3174.21,27
"O1","MICRO",3196.42,28
"O1","MICRO",3752.91,29
"O1","MICRO",4238.37,30
"O1","MICRO",4140.09,31
"O1","MICRO",3959.7,32
"O1","MICRO",3892.21,33
"O1","MICRO",3892.16,34
"O1","MICRO",3757.58,35
"O1","MICRO",3738.49,36
"O1","MICRO",3626.78,37
"O1","MICRO",3658.79,38
"O1","MICRO",3723.11,39
"O1","MICRO",3710.43,40
"O1","MICRO",3640.67,41
"O1","MICRO",3676.83,42
"O1","MICRO",3642.97,43
"O1","MICRO",3676.8,44
"O1","MICRO",3635.68,45
"O1","MICRO",3687.71,46
"O1","MICRO",3649.13,47
"O1","MICRO",3857.15,48
"O1","MICRO",3930.03,49
"O1","MICRO",3737.96,50
"O1","MICRO",3774.24,51
"O1","MICRO",3767.55,52
"O1","MICRO",3699.6,53
"O1","MICRO",3620.3,54
"O1","MICRO",3641,55
"O1","MICRO",3656.02,56
"O1","MICRO",3710.94,57
"O1","MICRO",3913.79,58
"O1","MICRO",3829.84,59
"O1","MICRO",3856.37,60
"O1","MICRO",3712.15,61
"O1","MICRO",3829.26,62
"O1","MICRO",4048.86,63
"O1","MICRO",4420.14,64
"O1","MICRO",4603.3,65
"O1","MICRO",4738.44,66
"O1","MICRO",4762.83,67
"O1","MICRO",4812.26,68
"O1","MICRO",4816.1,69
"O1","MICRO",4680.41,70
"O1","MICRO",4521.21,71
"O1","MICRO",4586.8,72
"O1","MICRO",4585.28,73
"O1","MICRO",4556.63,74
"O1","MICRO",4292.69,75
